1,'John','Doe','john.doe','hashed_password',"'{""twitter"": ""https://twitter.com/johndoe""}'","'{""email"": ""john.doe@email.com""}'",'avatar1.jpg','Web developer and designer','https://johndoe.com','2024-02-27 07:26:14','2024-02-27 07:26:14',"'email,app'",1,'2024-02-26 05:00:00','1'
2,'Jane','Smith','jane.smith','hashed_password2',"'{""linkedin"": ""https://www.linkedin.com/in/janesmith/""}'","'{""email"": ""jane.smith@email.com""}'",'avatar2.jpg','Digital marketer','https://janesmith.com','2024-02-27 07:26:14','2024-02-27 07:26:14','app',2,'2024-02-25 10:15:00','1'
3,'Alice','Johnson','alice.johnson','hashed_password3',"'{""facebook"": ""https://www.facebook.com/alicejohnson""}'","'{""email"": ""alice.johnson@email.com""}'",'avatar3.jpg','Software engineer','https://alicejohnson.com','2024-02-27 07:26:14','2024-02-27 07:26:14',"'email,app'",1,'2024-02-26 05:45:00','1'
4,'Bob','Williams','bob.williams','hashed_password4',"'{""instagram"": ""https://www.instagram.com/bobwilliams/""}'","'{""email"": ""bob.williams@email.com""}'",'avatar4.jpg','Graphic designer','https://bobwilliams.com','2024-02-27 07:26:14','2024-02-27 07:26:14','app',2,'2024-02-25 11:00:00','1'
5,'Eva','Miller','eva.miller','hashed_password5',"'{""twitter"": ""https://twitter.com/evamiller""}'","'{""email"": ""eva.miller@email.com""}'",'avatar5.jpg','Data analyst','https://evamiller.com','2024-02-27 07:26:14','2024-02-27 07:26:14','email',1,'2024-02-26 06:30:00','1'
6,'Chris','Jones','chris.jones','hashed_password6',"'{""linkedin"": ""https://www.linkedin.com/in/chrisjones/""}'","'{""email"": ""chris.jones@email.com""}'",'avatar6.jpg','Marketing specialist','https://chrisjones.com','2024-02-27 07:26:14','2024-02-27 07:26:14',"'email,app'",2,'2024-02-25 11:30:00','1'
7,'Olivia','Davis','olivia.davis','hashed_password7',"'{""facebook"": ""https://www.facebook.com/oliviadavis""}'","'{""email"": ""olivia.davis@email.com""}'",'avatar7.jpg','UI/UX designer','https://oliviadavis.com','2024-02-27 07:26:14','2024-02-27 07:26:14','app',1,'2024-02-26 07:00:00','1'
8,'Michael','Taylor','michael.taylor','hashed_password8',"'{""instagram"": ""https://www.instagram.com/michaeltaylor/""}'","'{""email"": ""michael.taylor@email.com""}'",'avatar8.jpg','Content creator','https://michaeltaylor.com','2024-02-27 07:26:14','2024-02-27 07:26:14',"'email,app'",2,'2024-02-25 12:15:00','1'
9,'Sophia','Anderson','sophia.anderson','hashed_password9',"'{""twitter"": ""https://twitter.com/sophiaanderson""}'","'{""email"": ""sophia.anderson@email.com""}'",'avatar9.jpg','Full-stack developer','https://sophiaanderson.com','2024-02-27 07:26:14','2024-02-27 07:26:14','email',1,'2024-02-26 07:30:00','1'
10,'Daniel','Clark','daniel.clark','hashed_password10',"'{""linkedin"": ""https://www.linkedin.com/in/danielclark/""}'","'{""email"": ""daniel.clark@email.com""}'",'avatar10.jpg','SEO specialist','https://danielclark.com','2024-02-27 07:26:14','2024-02-27 07:26:14','app',2,'2024-02-25 12:45:00','1'
